CRUISE6,YEAR,SEASON,STRATUM,TOW,STATION,SVSPP,LENGTH,INDWT,SEX,AGE,MATURITY,AVGDEPTH,BOTTEMP,STOCK 
198002,1980,SPRING,1160,5,596,102,49,,1,6,,77,5.8,GB
198002,1980,SPRING,1190,6,606,102,34,,1,4,,56,5.8,GB
198002,1980,SPRING,1190,7,580,102,53,,2,9,,41,6.1,GB
198002,1980,SPRING,1190,8,577,102,28,,1,3,,45,6.3,GB
198002,1980,SPRING,1200,2,610,102,51,,2,9,,38,6.6,GB
198002,1980,SPRING,1200,3,555,102,27,,1,3,,55,5.7,GB
198002,1980,SPRING,1210,3,612,102,42,,2,7,,94,5.2,GB
198002,1980,SPRING,1210,3,612,102,53,,2,10,,94,5.2,GB
198002,1980,SPRING,1210,3,612,102,42,,2,7,,94,5.2,GB
198002,1980,SPRING,1210,3,612,102,65,,1,14,,94,5.2,GB
198002,1980,SPRING,1220,1,598,102,49,,2,7,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,35,,2,5,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,31,,2,4,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,30,,2,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,30,,2,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,30,,2,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,29,,2,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,29,,2,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,29,,2,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,23,,2,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,34,,1,5,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,29,,1,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,29,,1,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,29,,1,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,28,,1,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,27,,1,3,,148,12.3,GB
198002,1980,SPRING,1220,1,598,102,25,,1,3,,148,12.3,GB
198002,1980,SPRING,1220,2,613,102,47,,2,7,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,35,,2,5,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,49,,1,7,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,27,,1,3,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,50,,2,8,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,40,,2,5,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,36,,2,5,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,35,,2,5,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,31,,2,4,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,30,,2,4,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,27,,2,3,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,36,,1,5,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,34,,1,5,,169,5.2,GB
198002,1980,SPRING,1220,2,613,102,30,,1,4,,169,5.2,GB
198002,1980,SPRING,1230,3,287,102,47,,2,8,,100,4.5,GB
198002,1980,SPRING,1230,3,287,102,46,,2,5,,100,4.5,GB
198002,1980,SPRING,1230,3,287,102,38,,2,5,,100,4.5,GB
198002,1980,SPRING,1230,3,287,102,35,,1,5,,100,4.5,GB
198002,1980,SPRING,1230,3,287,102,31,,1,4,,100,4.5,GB
198002,1980,SPRING,1230,3,287,102,30,,1,3,,100,4.5,GB
